Student_ID,ID,Classes_ID,Letter_Grade,Grade_Level,Credit_Type,Credit_Awarded,Credit_Potential
262969,21082692,1137468,D,9,OTHER,0.5,0.5
262969,21082673,1137517,C,9,SCI,0.5,0.5
262969,21078895,1137663,D,9,MTH,0.5,0.5
262969,21078907,1137815,D,9,ELA,0.5,0.5
262969,21078870,1507404,D,9,SS,0.5,0.5
262969,21075071,1643747,P,9,OTHER,0.5,0.5
158592,20104947,1649787,D,9,LANG,0.5,0.5
158592,20805984,1649788,C,9,LANG,0.5,0.5
158592,20805774,1650063,F,9,SS,0,0.5
158592,20106303,1650065,D,9,SCI,0.5,0.5
158592,20805638,1650066,F,9,SCI,0,0.5
158592,20107413,1650067,D,9,ELA,0.5,0.5
158592,20805010,1650068,F,9,ELA,0,0.5
158592,20106022,1650072,F,9,MTH,0,0.5
158592,20806764,1650073,F,9,MTH,0,0.5
158592,20106523,1650076,C,9,ART,0.5,0.5
158592,20806803,1650077,F,9,OTHER,0,0.5
158592,20106236,1650089,D,9,SS,0.5,0.5
158592,20106857,1654129,B,9,LANG,0.5,0.5
158592,20806328,1654130,F,9,LANG,0,0.5
262969,21103915,1752941,F,9,MTH,0,0.5
262969,21077348,1755052,D,9,ELA,0.5,0.5
262969,21100028,1756063,F,9,SS,0,0.5
262969,21100047,1756282,D,9,OTHER,0.5,0.5
262969,21092580,1758074,D,9,SCI,0.5,0.5
262969,21096321,1769329,P,9,OTHER,0.5,0.5
930594,20925690,1893190,D,9,OTHER,0.5,0.5
489321,21793538,2039118,A,9,OTHER,0.5,0.5
489321,21788089,2039145,C,9,ELA,0.5,0.5
489321,21790277,2039172,C,9,MTH,0.5,0.5
489321,21787117,2039199,C,9,SCI,0.5,0.5
489321,21791332,2039276,C,9,SS,0.5,0.5
240541,21793604,2047106,B,9,SS,0.5,0.5
240541,21785822,2047107,A,9,OTHER,0.5,0.5
240541,21790507,2047108,C,9,SCI,0.5,0.5
240541,21792564,2047109,B,9,MTH,0.5,0.5
240541,21785823,2047112,B,9,ART,0.5,0.5
556785,21791894,2047129,D,9,SS,0.5,0.5
556785,21792223,2047131,D,9,SCI,0.5,0.5
556785,21793077,2047134,B,9,ART,0.5,0.5
262969,21793300,2078218,D,10,ELA,0.5,0.5
262969,21788893,2078219,D,10,PE,0.5,0.5
489321,21795526,2102949,F,9,ART,0,0.5
815114,21651969,2173529,C,9,ELA,0.5,0.5
319366,21651943,2173529,C,9,ELA,0.5,0.5
815114,21650096,2174621,C,9,SS,0.5,0.5
319366,21649298,2174621,D,9,SS,0.5,0.5
815114,21650201,2174685,C,9,SCI,0.5,0.5
319366,21651066,2174685,C,9,SCI,0.5,0.5
889495,21627874,2223418,A,9,ELA,0.5,0.5
889495,22526136,2223419,A,9,ELA,0.5,0.5
889495,22525652,2223421,A,9,SS,0.5,0.5
889495,22518215,2223422,B,9,MTH,0.5,0.5
889495,21626035,2223424,A,9,SCI,0.5,0.5
621001,21628035,2227585,C,9,OTHER,0.5,0.5
621001,21626576,2227586,B,9,ELA,0.5,0.5
621001,21626360,2227587,D,9,SS,0.5,0.5
621001,22518406,2227588,B,9,SS,0.5,0.5
621001,22519370,2227589,B,9,MTH,0.5,0.5
621001,21630063,2227590,C,9,PE,0.5,0.5
621001,22525670,2227591,C,9,SCI,0.5,0.5
889495,21629273,2230049,A,9,SS,0.5,0.5
889495,21624387,2230050,B,9,MTH,0.5,0.5
889495,22518079,2230052,A,9,SCI,0.5,0.5
621001,22517083,2231745,C,9,OTHER,0.5,0.5
621001,22517084,2231746,B,9,ELA,0.5,0.5
621001,21630274,2231747,C,9,MTH,0.5,0.5
621001,22522507,2231748,B,9,PE,0.5,0.5
621001,21623584,2231749,C,9,SCI,0.5,0.5
319366,21651209,2294093,D,9,ART,0.5,0.5
306092,21958702,2297473,D,9,ELA,0.5,0.5
306092,21959770,2297474,D,9,SCI,0.5,0.5
306092,21959842,2297475,D,9,MTH,0.5,0.5
131045,21960821,2297476,B,9,SS,0.5,0.5
306092,21958421,2297476,D,9,SS,0.5,0.5
306092,21957674,2297478,F,9,OTHER,0,0.5
519474,22462084,2312723,A,9,SCI,0.5,0.5
519474,21763244,2313899,B,9,ELA,0.5,0.5
519474,22460741,2313900,D,9,ELA,0.5,0.5
519474,21760646,2313901,C,9,SS,0.5,0.5
519474,22462130,2313902,C,9,SS,0.5,0.5
519474,21760907,2313903,A,9,ART,0.5,0.5
519474,22460374,2313904,A,9,ART,0.5,0.5
519474,21758268,2313905,D,9,MTH,0.5,0.5
519474,22461689,2313906,C,9,MTH,0.5,0.5
519474,21761315,2313908,A,9,SCI,0.5,0.5
519474,21758795,2313909,C,9,OTHER,0.5,0.5
519474,22461521,2321991,A,9,OTHER,0.5,0.5
92050,21922186,2337584,C,9,SCI,0.5,0.5
92050,21920202,2337586,C,9,MTH,0.5,0.5
92050,21922734,2337587,A,9,SS,0.5,0.5
92050,21920902,2337588,D,9,ELA,0.5,0.5
92050,21920513,2337589,B,9,OTHER,0.5,0.5
815114,21649149,2423955,C,9,MTH,0.5,0.5
319366,21651823,2423955,C,9,MTH,0.5,0.5
906838,21694948,2470573,A,8,OTHER,0.5,0.5
906838,22898506,2470573,C,8,OTHER,0.5,0.5
306092,21960565,2495352,P,9,OTHER,0.5,0.5
871203,21648930,2509967,B,9,OTHER,0.5,0.5
578701,21788168,2511453,A,9,ELA,0.5,0.5
578701,21790700,2511478,B,9,MTH,0.5,0.5
578701,21793439,2511479,B,9,SCI,0.5,0.5
578701,21786838,2511487,A,9,ART,0.5,0.5
936412,21857422,2512335,A,9,ELA,0.5,0.5
917922,21857549,2512335,A,9,ELA,0.5,0.5
936412,21857643,2512401,A,9,SCI,0.5,0.5
917922,21857568,2512401,A,9,SCI,0.5,0.5
917922,21857469,2513682,A,9,SS,0.5,0.5
936412,21857896,2513682,B,9,SS,0.5,0.5
936412,21857756,2513683,A,9,MTH,0.5,0.5
917922,21857468,2513683,A,9,MTH,0.5,0.5
917922,21857889,2513685,A,9,OTHER,0.5,0.5
936412,21857742,2513685,B,9,OTHER,0.5,0.5
936412,21857457,2513690,A,9,OTHER,0.5,0.5
126364,22010145,2521371,A,9,OTHER,0.5,0.5
126364,22011075,2521373,C,9,ELA,0.5,0.5
126364,22012052,2521377,D,9,MTH,0.5,0.5
126364,22010457,2521383,C,9,SCI,0.5,0.5
126364,22011076,2521657,B,9,SS,0.5,0.5
255674,21773207,2523501,A,9,MTH,0.5,0.5
255674,22455030,2523502,B,9,MTH,0.5,0.5
255674,21771166,2523516,A,9,ELA,0.5,0.5
255674,22453707,2523519,A,9,ELA,0.5,0.5
255674,21774127,2523522,A,9,SCI,0.5,0.5
255674,22453838,2523523,C,9,SCI,0.5,0.5
255674,21771970,2523524,C,9,SS,0.5,0.5
255674,22454039,2523527,B,9,SS,0.5,0.5
255674,21769627,2523532,A,9,ART,0.5,0.5
255674,22453900,2523535,B,9,ART,0.5,0.5
917922,21857759,2540696,A,9,PE,0.5,0.5
255674,21772387,2567078,A,9,PE,0.5,0.5
255674,22454247,2567079,B,9,OTHER,0.5,0.5
228721,21638221,2567882,B,9,PE,0.5,0.5
228721,21637762,2567884,B,9,ELA,0.5,0.5
228721,21637180,2567892,D,9,SCI,0.5,0.5
228721,21638463,2568008,C,9,MTH,0.5,0.5
228721,21636925,2568016,B,9,SS,0.5,0.5
228721,21637573,2568028,A,9,ART,0.5,0.5
815114,21651485,2568843,B,9,PE,0.5,0.5
871203,21648992,2568843,B,9,PE,0.5,0.5
262969,21785517,2601601,D,10,MTH,0.5,0.5
936412,21857632,2605523,P,9,OTHER,0.5,0.5
917922,21857592,2605523,P,9,OTHER,0.5,0.5
489650,21771145,2612187,B,9,PE,0.5,0.5
489650,22452580,2612188,A,9,PE,0.5,0.5
489650,21769685,2612190,F,9,SS,0,0.5
489650,22454062,2612191,F,9,SS,0,0.5
